order_id,customer_id,city,category,amount,quantity,payment_method,status,created_at,updated_at
ORD-0000047,CUST-2711,Hue,Electronics,154.28,4,Credit Card,COMPLETED,2026-05-31 11:09:24,2026-05-31 11:09:24
ORD-0000048,CUST-4909,Ho Chi Minh,Clothing,1279.45,3,Credit Card,COMPLETED,2026-02-11 06:13:57,2026-02-11 06:13:57
ORD-0000049,CUST-1869,Hue,Books,1117.23,1,COD,COMPLETED,2026-05-13 00:10:07,2026-05-13 00:10:07
ORD-0000050,CUST-9402,Ho Chi Minh,Home & Kitchen,147.03,2,Bank Transfer,COMPLETED,2026-05-29 20:16:08,2026-05-29 20:16:08
ORD-0000051,CUST-8537,Can Tho,Books,933.96,2,E-Wallet,COMPLETED,2026-05-18 04:12:35,2026-05-18 04:12:35
ORD-0000052,CUST-7226,Hai Phong,Beauty,433.62,1,E-Wallet,COMPLETED,2026-05-06 01:45:36,2026-05-06 01:45:36
ORD-0000053,CUST-4046,Ha Noi,Sports,118.76,5,Credit Card,COMPLETED,2026-01-10 17:37:47,2026-01-10 17:37:47
ORD-0000054,CUST-7526,Hai Phong,Home & Kitchen,889.17,3,Bank Transfer,COMPLETED,2026-02-03 18:13:25,2026-02-03 18:13:25
ORD-0000055,CUST-5407,Ho Chi Minh,Electronics,766.45,4,Credit Card,COMPLETED,2026-03-16 04:18:14,2026-03-16 04:18:14
ORD-0000056,CUST-4882,Ho Chi Minh,Clothing,803.72,1,COD,COMPLETED,2026-04-16 12:27:48,2026-04-16 12:27:48
ORD-0000057,CUST-5721,Can Tho,Home & Kitchen,230.05,1,Credit Card,COMPLETED,2026-03-17 00:55:20,2026-03-17 00:55:20
ORD-0000058,CUST-7500,Ha Noi,Home & Kitchen,205.19,1,Bank Transfer,COMPLETED,2026-04-21 09:29:17,2026-04-21 09:29:17
ORD-0000059,CUST-4152,Ho Chi Minh,Electronics,850.46,3,Credit Card,COMPLETED,2026-01-12 03:07:06,2026-01-12 03:07:06
ORD-0000060,CUST-7325,Ho Chi Minh,Electronics,800.42,2,E-Wallet,COMPLETED,2026-01-04 23:31:11,2026-01-04 23:31:11
ORD-0000061,CUST-4964,Can Tho,Books,228.86,4,Bank Transfer,COMPLETED,2026-05-15 08:36:48,2026-05-15 08:36:48
ORD-0000062,CUST-4720,Ha Noi,Sports,908.44,5,Bank Transfer,COMPLETED,2026-01-21 16:39:01,2026-01-21 16:39:01
ORD-0000063,CUST-1708,Can Tho,Home & Kitchen,116.37,2,COD,COMPLETED,2026-05-29 07:01:58,2026-05-29 07:01:58
ORD-0000064,CUST-7702,Can Tho,Sports,106.94,1,Bank Transfer,COMPLETED,2026-01-07 10:44:44,2026-01-07 10:44:44
ORD-0000065,CUST-3552,Ha Noi,Home & Kitchen,1392.54,4,Bank Transfer,COMPLETED,2026-05-06 00:11:44,2026-05-06 00:11:44
ORD-0000066,CUST-4153,Can Tho,Clothing,420.79,2,Credit Card,COMPLETED,2026-03-03 18:37:04,2026-03-03 18:37:04
ORD-0000067,CUST-4899,Ho Chi Minh,Books,1488.15,2,COD,COMPLETED,2026-03-19 04:38:23,2026-03-19 04:38:23
ORD-0000068,CUST-6424,Ho Chi Minh,Home & Kitchen,1031.82,3,E-Wallet,COMPLETED,2026-04-22 07:02:13,2026-04-22 07:02:13
ORD-0000069,CUST-1215,Da Nang,Sports,380.43,4,Bank Transfer,COMPLETED,2026-04-06 16:17:42,2026-04-06 16:17:42
ORD-0000070,CUST-7421,Nha Trang,Sports,484.97,1,E-Wallet,COMPLETED,2026-02-09 09:07:45,2026-02-09 09:07:45
ORD-0000071,CUST-3004,Hai Phong,Sports,549.78,4,COD,COMPLETED,2026-01-02 06:51:26,2026-01-02 06:51:26
ORD-0000072,CUST-1331,Hue,Clothing,441.08,4,Credit Card,COMPLETED,2026-02-07 11:29:13,2026-02-07 11:29:13
ORD-0000073,CUST-5984,Nha Trang,Electronics,1254.43,5,COD,COMPLETED,2026-01-03 08:37:36,2026-01-03 08:37:36
ORD-0000074,CUST-1293,Can Tho,Books,1496.33,5,E-Wallet,COMPLETED,2026-03-19 15:32:54,2026-03-19 15:32:54
ORD-0000075,CUST-2594,Hai Phong,Beauty,902.78,5,Bank Transfer,PENDING,2026-03-01 03:51:17,2026-03-01 03:51:17
ORD-0000076,CUST-1246,Ha Noi,Beauty,725.98,2,COD,COMPLETED,2026-04-28 07:38:16,2026-04-28 07:38:16
ORD-0000077,CUST-2430,Da Nang,Home & Kitchen,495.08,3,E-Wallet,COMPLETED,2026-01-10 15:09:36,2026-01-10 15:09:36
ORD-0000078,CUST-8499,Hue,Sports,1331.79,4,Credit Card,COMPLETED,2026-02-21 11:46:09,2026-02-21 11:46:09
ORD-0000079,CUST-3489,Hue,Clothing,67.83,3,E-Wallet,COMPLETED,2026-04-22 09:11:02,2026-04-22 09:11:02
ORD-0000080,CUST-1019,Can Tho,Books,1140.38,5,E-Wallet,COMPLETED,2026-05-22 06:32:48,2026-05-22 06:32:48
ORD-0000081,CUST-8430,Da Nang,Sports,1464.59,3,COD,COMPLETED,2026-05-15 19:25:19,2026-05-15 19:25:19
ORD-0000082,CUST-2727,Hai Phong,Beauty,767.87,4,Credit Card,COMPLETED,2026-05-30 04:04:28,2026-05-30 04:04:28
ORD-0000083,CUST-8390,Hai Phong,Clothing,659.36,5,E-Wallet,COMPLETED,2026-01-23 00:13:48,2026-01-23 00:13:48
ORD-0000084,CUST-7449,Hai Phong,Books,842.59,1,Bank Transfer,COMPLETED,2026-01-27 12:07:50,2026-01-27 12:07:50
ORD-0000085,CUST-2901,Nha Trang,Clothing,795.84,4,COD,COMPLETED,2026-02-10 17:13:46,2026-02-10 17:13:46
ORD-0000086,CUST-3301,Ho Chi Minh,Sports,1023.38,1,E-Wallet,PENDING,2026-06-02 07:16:54,2026-06-02 07:16:54
ORD-0000087,CUST-7473,Nha Trang,Clothing,644.18,3,Credit Card,COMPLETED,2026-04-18 12:17:20,2026-04-18 12:17:20
ORD-0000088,CUST-8903,Hai Phong,Books,666.77,2,Bank Transfer,COMPLETED,2026-05-18 20:11:57,2026-05-18 20:11:57
ORD-0000089,CUST-6890,Ha Noi,Electronics,477.99,5,E-Wallet,COMPLETED,2026-04-25 16:29:26,2026-04-25 16:29:26
ORD-0000090,CUST-8190,Da Nang,Sports,746.17,5,COD,COMPLETED,2026-05-18 16:39:27,2026-05-18 16:39:27
ORD-0000091,CUST-4261,Nha Trang,Sports,1118.77,5,Bank Transfer,COMPLETED,2026-03-30 07:01:43,2026-03-30 07:01:43
ORD-0000092,CUST-4956,Hue,Beauty,134.82,4,Bank Transfer,COMPLETED,2026-02-20 03:08:13,2026-02-20 03:08:13
ORD-0000093,CUST-7219,Da Nang,Electronics,1423.55,4,Credit Card,COMPLETED,2026-06-19 21:13:48,2026-06-19 21:13:48
ORD-0000094,CUST-2604,Da Nang,Home & Kitchen,1407.13,3,Credit Card,COMPLETED,2026-06-14 05:00:09,2026-06-14 05:00:09
ORD-0000095,CUST-5110,Can Tho,Beauty,1330.66,4,Credit Card,PENDING,2026-01-06 04:55:47,2026-01-06 04:55:47
ORD-0000096,CUST-5042,Can Tho,Clothing,43.64,1,COD,PENDING,2026-01-02 17:25:18,2026-01-02 17:25:18
ORD-0000097,CUST-2759,Hai Phong,Beauty,227.47,5,COD,COMPLETED,2026-04-10 04:25:28,2026-04-10 04:25:28
ORD-0000098,CUST-8733,Da Nang,Clothing,1453.49,3,Credit Card,COMPLETED,2026-03-18 21:30:53,2026-03-18 21:30:53
ORD-0000099,CUST-6362,Nha Trang,Sports,59.19,5,Credit Card,COMPLETED,2026-03-16 06:54:35,2026-03-16 06:54:35
ORD-0000100,CUST-1210,Can Tho,Sports,669.81,1,Bank Transfer,COMPLETED,2026-03-20 01:20:13,2026-03-20 01:20:13
ORD-0000101,CUST-2186,Can Tho,Books,770.26,2,Bank Transfer,COMPLETED,2026-06-10 10:21:40,2026-06-10 10:21:40
ORD-0000102,CUST-8067,Da Nang,Clothing,470.86,2,COD,COMPLETED,2026-04-21 14:27:14,2026-04-21 14:27:14
ORD-0000103,CUST-3484,Ho Chi Minh,Books,63.35,2,COD,COMPLETED,2026-04-27 01:13:27,2026-04-27 01:13:27
ORD-0000104,CUST-6950,Ha Noi,Sports,756.08,5,Credit Card,PENDING,2026-03-05 07:35:16,2026-03-05 07:35:16
ORD-0000105,CUST-6998,Can Tho,Sports,1289.8,3,Credit Card,COMPLETED,2026-03-03 07:01:23,2026-03-03 07:01:23
ORD-0000106,CUST-2605,Ha Noi,Clothing,503.76,4,COD,COMPLETED,2026-02-21 20:14:01,2026-02-21 20:14:01
ORD-0000107,CUST-9071,Ha Noi,Home & Kitchen,515.56,3,Credit Card,COMPLETED,2026-03-09 12:46:54,2026-03-09 12:46:54
ORD-0000108,CUST-7097,Hue,Books,481.99,3,COD,COMPLETED,2026-05-19 08:42:34,2026-05-19 08:42:34
ORD-0000109,CUST-4689,Hai Phong,Books,631.91,3,COD,COMPLETED,2026-01-19 09:34:59,2026-01-19 09:34:59
ORD-0000110,CUST-1736,Hue,Books,1357.27,4,Bank Transfer,COMPLETED,2026-01-09 10:53:08,2026-01-09 10:53:08
ORD-0000111,CUST-8102,Can Tho,Sports,733.42,1,Bank Transfer,COMPLETED,2026-06-15 17:47:53,2026-06-15 17:47:53
ORD-0000112,CUST-3319,Da Nang,Electronics,956.28,2,COD,COMPLETED,2026-04-06 14:39:56,2026-04-06 14:39:56
ORD-0000113,CUST-4814,Nha Trang,Sports,761.45,1,Bank Transfer,COMPLETED,2026-01-28 03:51:57,2026-01-28 03:51:57
ORD-0000114,CUST-4422,Hai Phong,Books,194.53,1,Bank Transfer,COMPLETED,2026-01-09 17:21:08,2026-01-09 17:21:08
ORD-0000115,CUST-1386,Nha Trang,Books,156.02,3,Bank Transfer,COMPLETED,2026-06-29 21:18:41,2026-06-29 21:18:41
ORD-0000116,CUST-7296,Ha Noi,Sports,1403.29,2,Credit Card,PENDING,2026-01-04 14:02:04,2026-01-04 14:02:04
ORD-0000117,CUST-7720,Hue,Clothing,390.77,2,E-Wallet,COMPLETED,2026-01-11 22:10:04,2026-01-11 22:10:04
ORD-0000118,CUST-9852,Hue,Clothing,1042.41,5,E-Wallet,COMPLETED,2026-04-01 11:43:48,2026-04-01 11:43:48
ORD-0000119,CUST-9709,Ha Noi,Sports,487.36,4,Credit Card,COMPLETED,2026-04-20 00:26:27,2026-04-20 00:26:27
ORD-0000120,CUST-4824,Hai Phong,Clothing,236.69,5,E-Wallet,COMPLETED,2026-02-03 12:00:36,2026-02-03 12:00:36
ORD-0000121,CUST-9423,Can Tho,Beauty,70.26,3,COD,COMPLETED,2026-02-23 03:03:22,2026-02-23 03:03:22
ORD-0000122,CUST-7234,Hai Phong,Sports,820.62,4,Credit Card,PENDING,2026-02-06 03:25:17,2026-02-06 03:25:17
ORD-0000123,CUST-4738,Hue,Home & Kitchen,526.23,2,COD,COMPLETED,2026-06-15 01:14:23,2026-06-15 01:14:23
ORD-0000124,CUST-7298,Ha Noi,Home & Kitchen,183.01,4,Credit Card,COMPLETED,2026-04-06 17:04:24,2026-04-06 17:04:24
ORD-0000125,CUST-3825,Ho Chi Minh,Electronics,11.55,5,E-Wallet,COMPLETED,2026-06-19 13:45:51,2026-06-19 13:45:51
ORD-0000126,CUST-9466,Hai Phong,Beauty,843.69,5,Credit Card,COMPLETED,2026-04-04 09:52:27,2026-04-04 09:52:27
ORD-0000127,CUST-2266,Nha Trang,Books,1280.28,5,E-Wallet,COMPLETED,2026-04-04 04:05:24,2026-04-04 04:05:24
ORD-0000128,CUST-1197,Hai Phong,Books,63.18,2,Bank Transfer,COMPLETED,2026-06-19 02:57:55,2026-06-19 02:57:55
ORD-0000129,CUST-5369,Can Tho,Beauty,1157.89,2,COD,COMPLETED,2026-06-23 03:31:46,2026-06-23 03:31:46
ORD-0000130,CUST-8092,Hai Phong,Beauty,494.53,2,E-Wallet,COMPLETED,2026-01-24 11:31:50,2026-01-24 11:31:50
ORD-0000131,CUST-5984,Ha Noi,Beauty,53.14,2,Credit Card,COMPLETED,2026-06-03 15:08:35,2026-06-03 15:08:35
ORD-0000132,CUST-6825,Can Tho,Clothing,445.77,5,Bank Transfer,PENDING,2026-05-31 20:04:46,2026-05-31 20:04:46
ORD-0000133,CUST-1240,Hue,Electronics,978.22,1,Credit Card,COMPLETED,2026-01-23 21:32:37,2026-01-23 21:32:37
ORD-0000134,CUST-8670,Ha Noi,Books,786.57,2,Bank Transfer,COMPLETED,2026-03-21 23:35:38,2026-03-21 23:35:38
ORD-0000135,CUST-9672,Nha Trang,Books,471.64,4,E-Wallet,COMPLETED,2026-04-27 09:47:02,2026-04-27 09:47:02
ORD-0000136,CUST-5990,Ha Noi,Beauty,1101.09,1,Credit Card,COMPLETED,2026-04-23 21:43:52,2026-04-23 21:43:52
ORD-0000137,CUST-9964,Nha Trang,Home & Kitchen,1349.29,3,Bank Transfer,PENDING,2026-03-10 22:35:25,2026-03-10 22:35:25
ORD-0000138,CUST-2816,Ho Chi Minh,Electronics,306.86,5,Bank Transfer,COMPLETED,2026-05-11 19:01:47,2026-05-11 19:01:47
ORD-0000139,CUST-5775,Ho Chi Minh,Electronics,926.21,3,COD,COMPLETED,2026-06-10 17:01:04,2026-06-10 17:01:04
ORD-0000140,CUST-8563,Can Tho,Sports,86.64,1,E-Wallet,COMPLETED,2026-04-18 17:59:21,2026-04-18 17:59:21
ORD-0000141,CUST-7106,Hue,Clothing,827.2,1,COD,COMPLETED,2026-06-27 11:46:33,2026-06-27 11:46:33
ORD-0000142,CUST-6107,Nha Trang,Beauty,1285.07,5,Bank Transfer,COMPLETED,2026-03-10 14:34:18,2026-03-10 14:34:18
ORD-0000143,CUST-3705,Ho Chi Minh,Sports,84.64,2,E-Wallet,COMPLETED,2026-02-24 20:08:11,2026-02-24 20:08:11
ORD-0000144,CUST-9820,Hai Phong,Sports,981.09,4,E-Wallet,COMPLETED,2026-06-10 21:22:20,2026-06-10 21:22:20
ORD-0000145,CUST-7294,Da Nang,Sports,1355.43,2,Bank Transfer,COMPLETED,2026-05-23 02:42:09,2026-05-23 02:42:09
ORD-0000146,CUST-2384,Hue,Sports,604.73,1,Bank Transfer,COMPLETED,2026-03-25 02:57:40,2026-03-25 02:57:40
ORD-0000147,CUST-3751,Ho Chi Minh,Electronics,1416.44,5,Bank Transfer,COMPLETED,2026-04-15 08:26:39,2026-04-15 08:26:39
ORD-0000148,CUST-4476,Ha Noi,Beauty,170.85,3,E-Wallet,COMPLETED,2026-06-12 21:58:42,2026-06-12 21:58:42
ORD-0000149,CUST-8575,Hai Phong,Books,764.22,3,COD,COMPLETED,2026-05-17 16:58:31,2026-05-17 16:58:31
ORD-0000150,CUST-7498,Ha Noi,Beauty,598.18,2,Bank Transfer,COMPLETED,2026-04-18 06:44:24,2026-04-18 06:44:24
ORD-0000151,CUST-6492,Ha Noi,Electronics,1292.7,1,Bank Transfer,COMPLETED,2026-03-19 20:15:49,2026-03-19 20:15:49
ORD-0000152,CUST-6776,Nha Trang,Home & Kitchen,743.62,3,Bank Transfer,COMPLETED,2026-02-28 19:11:46,2026-02-28 19:11:46
ORD-0000153,CUST-6185,Ha Noi,Electronics,431.35,4,Credit Card,COMPLETED,2026-04-08 03:26:45,2026-04-08 03:26:45
ORD-0000154,CUST-6625,Hue,Sports,138.75,2,Credit Card,PENDING,2026-04-10 22:19:54,2026-04-10 22:19:54
ORD-0000155,CUST-6597,Ho Chi Minh,Clothing,255.89,1,Bank Transfer,COMPLETED,2026-05-21 09:27:38,2026-05-21 09:27:38
ORD-0000156,CUST-3760,Ho Chi Minh,Books,1310.93,5,Credit Card,COMPLETED,2026-06-15 03:36:21,2026-06-15 03:36:21
ORD-0000157,CUST-5091,Ho Chi Minh,Sports,235.74,4,Credit Card,COMPLETED,2026-05-11 12:47:32,2026-05-11 12:47:32
ORD-0000158,CUST-2824,Can Tho,Beauty,319.87,2,Bank Transfer,COMPLETED,2026-05-19 07:32:24,2026-05-19 07:32:24
ORD-0000159,CUST-2948,Can Tho,Books,1267.4,3,E-Wallet,COMPLETED,2026-02-13 07:31:57,2026-02-13 07:31:57
ORD-0000160,CUST-2514,Ho Chi Minh,Books,32.0,2,E-Wallet,COMPLETED,2026-04-16 12:44:05,2026-04-16 12:44:05
ORD-0000161,CUST-8094,Ha Noi,Sports,1021.32,1,Bank Transfer,COMPLETED,2026-05-22 17:49:06,2026-05-22 17:49:06
ORD-0000162,CUST-9737,Nha Trang,Electronics,109.42,1,COD,COMPLETED,2026-04-20 00:18:01,2026-04-20 00:18:01
ORD-0000163,CUST-2974,Ha Noi,Sports,1214.99,5,COD,COMPLETED,2026-04-22 15:20:28,2026-04-22 15:20:28
ORD-0000164,CUST-8275,Nha Trang,Electronics,550.02,4,Credit Card,COMPLETED,2026-05-25 04:21:51,2026-05-25 04:21:51
ORD-0000165,CUST-6516,Nha Trang,Clothing,466.08,3,E-Wallet,COMPLETED,2026-05-22 20:52:14,2026-05-22 20:52:14
ORD-0000166,CUST-6445,Da Nang,Sports,230.54,1,COD,COMPLETED,2026-03-21 03:06:11,2026-03-21 03:06:11
ORD-0000167,CUST-5662,Can Tho,Clothing,476.58,5,Credit Card,COMPLETED,2026-02-26 21:19:01,2026-02-26 21:19:01
ORD-0000168,CUST-2474,Da Nang,Home & Kitchen,940.54,1,Credit Card,COMPLETED,2026-04-08 22:35:50,2026-04-08 22:35:50
ORD-0000169,CUST-1178,Nha Trang,Clothing,1436.28,5,COD,COMPLETED,2026-06-19 10:52:19,2026-06-19 10:52:19
ORD-0000170,CUST-8626,Nha Trang,Electronics,246.85,2,E-Wallet,COMPLETED,2026-02-09 10:16:42,2026-02-09 10:16:42
ORD-0000171,CUST-5178,Ho Chi Minh,Sports,668.66,4,Credit Card,PENDING,2026-04-18 06:27:10,2026-04-18 06:27:10
ORD-0000172,CUST-8795,Ho Chi Minh,Home & Kitchen,1368.2,4,COD,COMPLETED,2026-06-24 22:09:39,2026-06-24 22:09:39
ORD-0000173,CUST-2150,Hai Phong,Sports,653.88,1,E-Wallet,COMPLETED,2026-02-21 03:20:36,2026-02-21 03:20:36
ORD-0000174,CUST-1736,Da Nang,Electronics,240.81,4,Bank Transfer,COMPLETED,2026-03-13 20:35:56,2026-03-13 20:35:56
ORD-0000175,CUST-2783,Hue,Books,1273.34,4,E-Wallet,COMPLETED,2026-04-24 14:34:04,2026-04-24 14:34:04
ORD-0000176,CUST-7848,Nha Trang,Sports,451.91,3,Bank Transfer,COMPLETED,2026-01-07 15:27:13,2026-01-07 15:27:13
ORD-0000177,CUST-9552,Hue,Sports,279.43,4,E-Wallet,COMPLETED,2026-03-01 02:22:58,2026-03-01 02:22:58
ORD-0000178,CUST-2213,Da Nang,Electronics,1105.43,5,Credit Card,PENDING,2026-04-17 10:50:55,2026-04-17 10:50:55
ORD-0000179,CUST-6871,Hai Phong,Books,173.25,4,COD,COMPLETED,2026-01-15 22:28:57,2026-01-15 22:28:57
ORD-0000180,CUST-1364,Ha Noi,Home & Kitchen,999.92,2,Bank Transfer,COMPLETED,2026-02-26 03:59:03,2026-02-26 03:59:03
ORD-0000181,CUST-8649,Hai Phong,Electronics,405.51,1,Credit Card,PENDING,2026-05-02 05:18:20,2026-05-02 05:18:20
ORD-0000182,CUST-6199,Ho Chi Minh,Beauty,516.58,2,COD,PENDING,2026-03-11 13:50:30,2026-03-11 13:50:30
ORD-0000183,CUST-9936,Ha Noi,Books,939.57,4,COD,COMPLETED,2026-04-27 08:35:49,2026-04-27 08:35:49
ORD-0000184,CUST-9075,Da Nang,Electronics,746.19,1,COD,COMPLETED,2026-04-13 21:47:39,2026-04-13 21:47:39
ORD-0000185,CUST-5026,Hai Phong,Electronics,1094.4,1,Bank Transfer,COMPLETED,2026-02-26 13:56:28,2026-02-26 13:56:28
ORD-0000186,CUST-3711,Can Tho,Electronics,380.22,2,Bank Transfer,COMPLETED,2026-06-27 16:22:15,2026-06-27 16:22:15
ORD-0000187,CUST-7572,Da Nang,Books,812.85,2,E-Wallet,COMPLETED,2026-05-19 02:33:15,2026-05-19 02:33:15
ORD-0000188,CUST-3875,Da Nang,Books,1235.08,3,Credit Card,COMPLETED,2026-02-26 01:52:38,2026-02-26 01:52:38
ORD-0000189,CUST-4422,Nha Trang,Beauty,169.79,4,COD,COMPLETED,2026-04-12 05:17:35,2026-04-12 05:17:35
ORD-0000190,CUST-8589,Nha Trang,Clothing,36.47,4,Bank Transfer,COMPLETED,2026-05-07 17:57:25,2026-05-07 17:57:25
ORD-0000191,CUST-1954,Hai Phong,Sports,657.06,1,COD,COMPLETED,2026-01-14 10:01:46,2026-01-14 10:01:46
ORD-0000192,CUST-8341,Da Nang,Sports,863.2,4,E-Wallet,COMPLETED,2026-02-10 10:57:54,2026-02-10 10:57:54
ORD-0000193,CUST-1905,Hue,Clothing,210.69,3,E-Wallet,COMPLETED,2026-02-20 22:01:59,2026-02-20 22:01:59
